"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-3422.blockOrder";"session.node-3422.IATorder";"session.node-3422.keyOrder";"session.node-4640.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_block2.durationTime";"trial.IAT_block2.endTime";"trial.IAT_block2.outcome";"trial.IAT_block2.response";"trial.IAT_block2.result";"trial.IAT_block2.RT";"trial.IAT_block2.startTime";"trial.IAT_block2.Stimfile";"trial.IAT_block2.stimType";"trial.IAT_block2.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"1";"0";"module.GoNoGotutorial.exec-7350.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4011";"2014-07-17 13:40:53.989";"leftResponse";"0";"FINISHED";"LEFT";"success";"1629";"0";"2014-07-17 13:40:49.978";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"2";"1";"module.GoNoGotutorial.exec-7350.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-07-17 13:40:59.308";"rightResponse";"1";"FINISHED";"RIGHT";"success";"854";"0";"2014-07-17 13:40:55.299";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"3";"2";"module.GoNoGotutorial.exec-7350.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-07-17 13:41:04.612";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-07-17 13:41:00.603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"4";"3";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:16.344";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-07-17 13:41:14.378";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"5";"4";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2014-07-17 13:41:19.604";"21";"1";"FINISHED";"RIGHT";"success";"1170";"0";"2014-07-17 13:41:17.638";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"6";"5";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:22.864";"14";"1";"FINISHED";"RIGHT";"success";"486";"0";"2014-07-17 13:41:20.899";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"7";"6";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:26.125";"26";"0";"FINISHED";"LEFT";"success";"354";"0";"2014-07-17 13:41:24.159";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"8";"7";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:29.370";"2";"0";"FINISHED";"LEFT";"success";"421";"0";"2014-07-17 13:41:27.404";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"9";"8";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-07-17 13:41:32.614";"30";"0";"FINISHED";"LEFT";"success";"385";"0";"2014-07-17 13:41:30.649";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"10";"9";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:35.859";"6";"1";"FINISHED";"RIGHT";"success";"307";"0";"2014-07-17 13:41:33.894";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"11";"10";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-07-17 13:41:39.104";"34";"0";"FINISHED";"LEFT";"success";"320";"0";"2014-07-17 13:41:37.138";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"12";"11";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:42.349";"23";"1";"FINISHED";"RIGHT";"success";"298";"0";"2014-07-17 13:41:40.383";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"13";"12";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:45.594";"13";"0";"FINISHED";"LEFT";"success";"261";"0";"2014-07-17 13:41:43.628";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"14";"13";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-07-17 13:41:48.839";"3";"1";"FINISHED";"RIGHT";"success";"345";"0";"2014-07-17 13:41:46.873";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"15";"14";"module.GoNoGopractice.exec-6527.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-07-17 13:41:52.083";"27";"1";"FINISHED";"RIGHT";"success";"379";"0";"2014-07-17 13:41:50.118";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"16";"15";"module.training_block1.exec-4781.GoNoGo1";"1261";"2014-07-17 13:42:02.130";"NST_correctLoc";"3";"1";"FINISHED";"RIGHT";"success";"362";"0";"2014-07-17 13:42:00.866";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"17";"16";"module.training_block1.exec-4781.GoNoGo1";"1257";"2014-07-17 13:42:04.673";"NST_correctLoc";"24";"0";"FINISHED";"LEFT";"success";"344";"0";"2014-07-17 13:42:03.409";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"18";"17";"module.training_block1.exec-4781.GoNoGo1";"1258";"2014-07-17 13:42:07.215";"NST_correctLoc";"12";"0";"FINISHED";"LEFT";"success";"378";"0";"2014-07-17 13:42:05.952";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"19";"18";"module.training_block1.exec-4781.GoNoGo1";"1257";"2014-07-17 13:42:09.758";"NST_correctLoc";"32";"1";"FINISHED";"RIGHT";"success";"370";"0";"2014-07-17 13:42:08.495";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"20";"19";"module.training_block1.exec-4781.GoNoGo1";"1261";"2014-07-17 13:42:12.301";"NST_correctLoc";"13";"0";"FINISHED";"LEFT";"success";"320";"0";"2014-07-17 13:42:11.037";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ClaudiusP";"1993";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 13:40:13.725";"2014-07-17 14:00:33.179";"1";"0";"1";"0";"0";"21";"20";"module.training_block1.exec-4781.GoNoGo1";"1261";"2014-07-17 13:42:14.844";"NST_correctLoc";"34";"0";"FINISHED";"LEFT";"success";"313";"0";"2014-07-17 13:42:13.580";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
