"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5513.blockOrder";"session.node-5513.IATorder";"session.node-5513.keyOrder";"session.node-5536.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"1";"0";"module.GoNoGotutorial.exec-5510.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-02-11 15:17:24.590";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 15:17:20.590"
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"2";"1";"module.GoNoGotutorial.exec-5510.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-11 15:17:29.872";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 15:17:25.872"
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"3";"2";"module.GoNoGotutorial.exec-5510.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-02-11 15:17:35.157";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 15:17:31.157"
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"4";"3";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1958";"2014-02-11 15:17:40.829";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 15:17:38.871";"3";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"5";"4";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1953";"2014-02-11 15:17:44.060";"21";"1";"FINISHED";"RIGHT";"success";"411";"0";"2014-02-11 15:17:42.107";"3";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"6";"5";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1958";"2014-02-11 15:17:47.301";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 15:17:45.342";"2";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"7";"6";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1952";"2014-02-11 15:17:50.687";"26";"0";"FINISHED";"LEFT";"success";"591";"0";"2014-02-11 15:17:48.735";"3";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"8";"7";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-11 15:17:53.920";"2";"0";"FINISHED";"LEFT";"success";"613";"0";"2014-02-11 15:17:51.969";"1";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"9";"8";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1949";"2014-02-11 15:17:57.152";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 15:17:55.202";"3";;;;;;;;;;
"gfg";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-11 15:17:15.553";"2014-02-11 15:19:52.227";"1";"1";"0";"0";"1";"10";"9";"module.GoNoGopractice.exec-4358.GoNoGo_Practice";;;;;;;;;;;;"1949";"2014-02-11 15:18:00.385";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 15:17:58.435";"1";;;;;;;;;;
